,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,HDD Capacity,Processor Variant,Chipset,Memory Slots,Expandable Memory,RPM,Graphic Processor,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Model Name,Clock Speed,RAM Frequency,Cache,Number of Cores,Multi Card Slot,Sound Chip,Domestic Warranty,Lock Port,Other Accessories,VGA Port,International Warranty,Security Chip,MRP Price,Discount,Discounted_price,Antivirus,Laptop Bag,Optane Memory,Dock Port,RJ11,Read/Write Speed,Stylus Included,Supported Operating System,Wireless WAN,Recovery Options,Face Recognition,NFC Support,EMMC Storage Capacity,Inbuilt 4G LTE,S-video,Firewire Port,Brand
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-53,NH.QCYSI.008,Predator Helios 300,Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7 hours,230 W AC Adapter,4 cell,No,GDDR6,6 GB,Intel,Octa Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10870H,Mobile Intel HM470 PCH Chipset,2 slots,Upto 32 GB,7200,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port (USB 3.2 Gen 2), 1 x USB 3.2 Gen 2 Port with Power-Off Charging, 2 x USB 3.2 Gen 1 Ports",1 x HDMI,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit IPS ComfyView Display (300 nits Brightness, 72% NTSC Color Gamut)",Built-in Speakers,Built-in Dual Microphones,"DTS X : Ultra Audio, Featuring Optimized Bass, Loudness, Speaker Protection with up to 6 Custom Content Modes by Smart Amplifier, Supported in Windows Spatial Sound for PC Gaming with DTS License Integrated, Immersive Audio Rendering Over Headphones and Internal Speakers, Acer Purified Voice Technology with Dual Built-in Microphones. Features Include Far-Field Pickup, Keystroke Suppression, Adaptive Beam Forming, and Pre-Defined Personal and Conference Call Modes, Compatible with Cortana with Voice, Acer TrueHarmony Technology for Lower Distortion, Wider Frequency Range, Headphone-Like Audio and Powerful Sound",144 Hz,Killer Wi-Fi 6 AX1650i,v5.1,"Killer Ethernet E2600, 10/100/1000 Mbps",363.4 x 255 x 22.9,2.3 kg,Not Available,720p HD Webcam,No,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-Gesture Touchpad,"PredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access","59 WHr Li-ion Battery, BIOS User, Supervisor Passwords",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,"1,49,999",22%,"1,16,990",,,,,,,,,,,,,,,,,acer
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",GL65 Leopard 10SEK-465IN,9S7-16U722-465,GL65 Leopard,Black,Gaming Laptop,"Processing & Multitasking, Gaming",,230 W AC Adapter,6 cell,No,GDDR6,6 GB,Intel,Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce RTX 2060,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 Type A (1st Gen), 1 x USB 3.2 Type C (2nd Gen)",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare IPS Thin Bezel Display (144 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphone,"2 x 2 W Speakers, Hi-Res Audio",,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,Yes,357 x 248 x 27.5 mm,2.3 kg,Not Available,HD Webcam (720p at 30 fps),,Per Key RGB Steelseries Keypad,Yes,Touchpad,"Matrix Display, Dragon Center, Cooler Boost 5, Nahimic 3",51 WHr Li-ion Battery,2 Year Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",GL65 Leopard 10SEK-465IN,2.6 GHz with Turbo Boost Upto 5.0 GHz,2666 MHz,12 MB,6,SD Card Reader,Realtek ALC 233,2 Year,,,,,,"1,45,990",24%,"1,09,990",,,,,,,,,,,,,,,,,MSI
2,"Laptop, Power Adaptor, User Guide, Warranty Documents",14s- DQ3018TU,3Y0H5PA#ACJ,,Jet Black,Thin and Light Laptop,Processing & Multitasking,Upto 12 hours,,3 cell,Yes,,,Intel,Pentium Quad Core,,Yes,256 GB,8 GB,DDR4,,N6000,,,8,,Intel Integrated UHD,64 bit,Windows 10 Home,64,Yes,,"1 x Super Speed USB Type-C 5Gbps Signaling Rate, 2 x Super Speed USB Type-A 5Gbps Signaling Rate",1 x HDMI 1.4b,PCIe NVMe,No,35.56 cm (14 inch),1366 x 768 Pixels,"HD Micro-Edge Bright View IPS Display (250 nits Brightness, 45% NTSC Color Gamut, 112 PPI)",Built-in Speakers,Integrated Dual Array Digital Microphone,Alexa Support,,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi,v4.2,,32.4 x 22.5 x 1.79,1.46 kg,Not Available,HP True Vision 720p HD Webcam,,Full-Size Jet Black Keyboard,,HP Imagepad with Multi-Touch Gesture Support,"Microsoft Office Home & Student 2019, HP Documentation, HP Smart","41 WHr Li-ion Battery, Support Battery Fast Charge, HP Support Assistant, Energy Star Certified, EPEAT Silver Registered, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3.3 GHz Max Turbo Frequency,2933 MHz,4,4,1 x Multi-Format SD Media Card Reader (SD/SDHC/SDxC),,,,,,,,"34,500",8% ,"31,490",,,,,,,,,,,,,,,,,HP
3,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-du1064TU,25U57PA#ACJ,15s,Jet Black,Laptop,Processing & Multitasking,,,3,Yes,,,Intel,Core i3,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,10110U,,,,5400,Intel Integrated UHD,64 bit,Windows 10 Home,64,Yes,Yes,"1 x SuperSpeed USB Type C (5 Gbps Signaling Rate), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",1 x HDMI Port (v1.4b),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD LED Backlit, Micro-Edge, Anti-Glare Display (220 nits Brightness, 141 ppi, 45%NTSC Color Gamut)",Built in Dual Speakers,Integrated Dual Array Digital Microphone,Dual Speakers,,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1),v4.2,Integrated 10/100/1000 Gigabit Ethernet LAN,358 x 242 x 19.9,1.82 KG,Not Available,720p HD Webcam,,"Full-size, jet black English Keyboard with a numeric keypad",No,Touchpad with Multi-touch gesture support,"Microsoft Office Home & Student 2019, HP Documentation, HP BIOS recovery, HP Smart",41 WHr Li-ion Battery with HP Support Assistant,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,4.1 GHz with Turbo Boost Frequency,2666 MHz,4,2,1 x Multi-Format SD Media Card Reader (SD/SDHC/SDxC),,1 Year,,,,,,"44,908",2% ,"43,990",,,,,,,,,,,,,,,,,HP
4,"Laptop, Power Adaptor, User Guide, Warranty Documents",14s- DY2501TU,3T170PA#ACJ,14s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,3 cell,Yes,,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,,1115G4,,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,No,"1 x SuperSpeed USB Type C (5 Gbps Signaling Rate), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",1 x HDMI Port (v1.4b),PCIe NVMe M.2,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD WLED Backlit, IPS BrightView Micro-Edge Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI)",Built-in Dual Speakers,Integrated Dual Array Digital Microphones,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,,324 x 225 x 17.9 mm,1.46 kg,Not Available,HP True Vision 720p HD Webcam,No,Full-size Natural Silver English Keyboard,No,HP Imagepad with Multi-touch Gesture Support,"HP Documentation, HP SSRM, HP Smart, Microsoft Office 2019, McAfeeLiveSafe 30 day trial, HP Support Assistant","41 WH Li-ion Battery with Fast Charge Support, MU-MIMO Supported, Miracast Compatible, Built in Alexa",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,4.1 GHz Max Turbo Frequency,2666 MHz,6 MB,2,"3-in-1 Card Reader (SD, SDHC, SDxC)",,1 Year,,,,,,"45,892",9% ,"41,490",,,,,,,,,,,,,,,,,HP
5,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-GY0001AU,227U4PA#ACJ,15s,Jet Black,Thin and Light Laptop,Processing & Multitasking,,,4 Cell,Yes,,,AMD,Athlon Dual Core,,No,,4 GB,DDR4,1 TB,,,,,5400,AMD Radeon,64 bit,Windows 10 Home,64,Yes,Yes,"1 x SuperSpeed USB Type-C 5Gbps Signaling Rate, 2 x SuperSpeed USB Type-A 5Gbps Signaling Rate,",1 x HDMI 1.4b,,No,39.62 cm (15.6 inch),1366 x 768 Pixels,"HD Micro-edge, BrightView Display (220 nits Brightness, 45% NTSC Color Gamut, 101 ppi)",Built-in Dual Speakers,Bulit-in Dual Array Microphones,,,Realtek RTL8821CE 802.11b/g/n/ac (1x1),v4.2,Integrated 10/100/1000 GbE LAN,358 x 242 x 19.9,1.76 kg,Not Available,HP True Vision 720p HD Webcam,No,"Full-size, Jet Black Keyboard with Numeric Keypad",Yes,Touchpad,"Microsoft Office Home & Student 2019, HP Documentation, HP Smart, HP Support Assistant","MU-MIMO Supported, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.3 GHz with Turbo Boost Upto 3.2 GHz,,4,2,1 x Multi-format SD Media Card Reader (SD/SDHC/SDxC),,1 Year,,,,,,"28,420",3% ,"27,490",,,,,,,,,,,,,,,,,HP
6,"Laptop, Power Adaptor, User Guide, Warranty Documents, FHD 1080P@60FPS external camera",GA503QM-HQ148TS,90NR04X2-M03930,ROG Zephyrus G15 (2021),Eclipse Grey,Gaming Laptop,"Gaming, Processing & Multitasking",,200 W AC Adapter,4 cell,Yes,GDDR6,6 GB,AMD,Ryzen 7 Octa Core,,Yes,1 TB,16 GB,DDR4,,5800HS,,1 Slot,Up to 40 GB,,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,Yes,Yes,"2 x USB 3.2 Gen 2 Type-A, 2 x Type C USB 3.2 Gen 2 with Power Delivery, Display Port and G-Sync",1 x HDMI (2.0b),PCIe NVMe,No,39.62 cm (15.6 inch),2560 x 1440 Pixels,"Quad HD LED Backlit LCD Anti-Glare IPS-Level Display with FreeSync (300 nits Brightness, 165 Hz Refresh Rate, 3ms Response Time (G2G), 100% DCI-P3, 1000:1 Contrast, Pantone Validated)","2 x 2 W Tweeter, 4 x 2 W Woofer with Smart Amp Technology",Built-in Array Microphone,"AI Mic Noise-Canceling, Dolby Atmos Software, Smart Amp",165 Hz,Wi-Fi 6 (802.11ax) Dual Band (2x2),v5.1,10/100/1000,35.5 x 24.3 x 1.99 cm,1.90 kg,Not Available,,Yes,Backlit Chiclet Keyboard,Yes,Touchpad,Office Home and Student 2019,"90 WHr Li-ion Battery, BIOS Administrator Password and User Password Protection, Graphic Wattage with ROG Boost up to 1525 MHz at 80W (95W with Dynamic Boost), Viewing Angle 85/85/85/85, Free Sync, 3ms Response Time",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.8 GHz with Turbo Frequency Upto 4.4 GHz,3200 MHz,20 MB,8,1 x Card Reader (microSD),,,Kensington Lock,Full HD 1080P at 60fps External Camera,,,,"1,79,990",23%,"1,37,990",,,,,,,,,,,,,,,,,ASUS
7,"Laptop, Power Adaptor, User Guide, Warranty Documents",M515DA-BQ502TS,90NB0T42-M04440,,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,2 cell,Yes,,,AMD,Ryzen 5 Quad Core,,No,,8 GB,DDR4,1 TB,3500U,,,,5400,AMD Radeon Vega 8,64 bit,Windows 10 Home,64,Yes,,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI (1.4),SATA,No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD LCD Anti-Glare Display,,Built-in Microphones,"SonicMaster, Cortana Support",,,v4.2,,36.00 x 23.50 x 1.99,1.80 kg,Not Available,VGA Webcam (Without Privacy Shutter),Yes,Chiclet Keyboard with Numeric Keypad,,Touchpad,"Office Home and Student 2019, MyASUS, Link to MyASUS, Splendid, Tru2Life","37 Whrs Li-ion Battery, BIOS Booting User Password Protection, Trusted Platform Module (Firmware TPM), Fingerprint Sensor Intergrated with Touchpad, AppDeals, Battery Health, Keyboard Hotkeys",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Frequency Upto 3.7 GHz,,4,4,1 x Micro SD Card Reader,,,Security Lock,,Yes,,,"52,990",22%,"40,990",,,,,,,,,,,,,,,,,MSI
8,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-41G-R7YZ,NH.Q8SSI.001,Aspire 7,Charcoal Black,Gaming Laptop,"Processing & Multitasking, Gaming",Upto 7 hours,135 W AC Adapter,3 cell,No,GDDR6,4 GB,AMD,Ryzen 5 Quad Core,,Yes,512 GB,8 GB,DDR4,,3550H,,2 Slots,Upto 32 GB,,NVIDIA GeForce GTX 1650 Ti,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB Type C, 2 x USB 3.2 (1st Gen), 1 x USB 2.0",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit ComfyView IPS Display (16:9 Aspect Ratio),Built-in Dual Speakers,Built-in Dual Microphones,Stereo Speakers,,Intel Wireless Wi-Fi 6 AX200,v5.0,"Gigabit Ethernet, Wake-on-LAN Ready",363.4 x 254.5 x 23.25 mm,2.15 kg,Not Available,720P HD Webcam,No,FineTip Backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-gesture Touchpad (Moisture Resistant),"Acer Collection, Quick Access, Acer Product Registration, Acer Care Center",48 WHr Li-ion Battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Boost Upto 3.7 GHz,,6 MB,4,,,1 Year,Kensington Lock Slot,,,1 Year,,"57,600",11%,"50,990",,,,,,,,,,,,,,,,,acer
9,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-ec0101AX,167W1PA#ACJ,Pavilion Gaming,Black,Gaming Laptop,"Processing & Multitasking, Gaming",,,3 cell,No,GDDR5,4 GB,AMD,Ryzen 5 Quad Core,,No,,8 GB,DDR4,1 TB,3550H,,,,5400,NVIDIA GeForce GTX 1650,64 bit,Windows 10 Home,64 bit,Yes,Yes,,1 x HDMI Port,SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Display,Built-in Dual Speakers,Built-in Microphone,Bang and Olufsen Sound,,Realtek Wi-Fi 5 (2x2),v5.0,Integrated 10/100/1000 Gigabit LAN,360 x 257 x 23.5 mm,2.04 kg,Not Available,HD Webcam,,Full-size Island-style Ultra Violet Backlit Keyboard with Numeric Keypad,Yes,Multi-gesture Touchpad,,52.5 WHr Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Boost Upto 3.7 GHz,2400 MHz,6 MB,4,Micro SD Card Reader,,1 Year,,,,,,"56,144",10%,"49,990",,,,,,,,,,,,,,,,,HP
10,"Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-EJ322TS,90NB0SR2-M07220,VivoBook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,2 cell,Yes,,,Intel,Core i3,10th Gen,No,,8 GB,DDR4,1 TB,1005G1,,,,5400,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 3.2 (1st Gen) Type A, 1 x USB 3.2 (1st Gen) Type C, 2 x USB 2.0 Type A",1 x HDMI Port (v1.4),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 200 nits Brightness, 83% Screen-to-body Ratio)",Built-in Speakers,Built-in Microphones,"Audio by ICEpower, Sonic Master, Cortana Support",,IEEE 802.11ac (1x1) (Wi-Fi 5),v4.1,,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA Webcam (without Privacy Shutter),Yes,Chiclet Keyboard with Num-key,No,Touchpad,"Microsoft Office Home and Student 2019, Splendid, Tru2Life, My Asus","37 WHr Li-ion Battery, BIOS Booting User Password Protection",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.2 GHz with Turbo Boost Upto 3.4 GHz,,4 MB,2,Micro SD Card Reader,,1 Year,Security Lock,,,,TPM,"45,990",17%,"37,990",,,,,,,,,,,,,,,,,HP
