Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
N5 4G Calling Tablet,N5 4G Calling Tablet,White,Wi-Fi+4G,Android,6,2 GB,Yes,17.78 cm (7 inch),"Tablet, Charging Adapter, USB Cable, OTG Cable, User Manual",1024 x 600$$pixel pixels,5 megapixels,16 GB,1.3 GHz,Dual Sim,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,999",13%,"18,999",I kall
SM-T500NZAGINU/SM-T500NZANINU,Galaxy Tab A7,Dark Grey,Wi-Fi Only,Android,10,3 GB,No,26.42 cm (10.4 inch),"Tablet, Travel Adapter (White, 7.75W), Data Cable (USB Type C (1 m), White), SIM Ejector Pin, Quick Start Guide",2000 x 1200 Pixels,8 Megapixels,64 GB,2 GHz,No Sim,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Full HD,Wi-Fi Only,Qualcomm Snapdragon 662,Tab A Series,"Quad Stereo Speakers with Dolby Atmos Surround Sound, 15W Fast Charging Support",NA,Yes,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor",32 GB,7040 mAh,Yes,Yes,5 Megapixels,1080 pixels,Yes,Yes,Yes,No Flash,Auto Focus Rear Camera,Yes,Yes,Yes,Yes,v5.0,"Yes, USB 2.0 Type C",Android,3.5 mm,802.11a/b/g/n/ac (2.4 GHz|5 GHz),"Wi-Fi Direct, Auto Hotspot",WUXGA TFT Touch Display (80% Screen to Body Ratio),TFT,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,Yes,Yes,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,"A-GPS, Glonass, Beidou, Galileo",Google Maps,1 TB,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,"35,500",38%,"21,999",SAMSUNG
ZA540019IN,Yoga Smart Tab with Google Assistant,Iron Grey,Wi-Fi+4G,Android,10,4 GB,Yes,25.65 cm (10.1 inch),"Tablet, Power Adapter (5 V/2 A), USB 2.0 Type C Cable, Quick Start Guide, User Manual, Warranty Card",1920 x 1200 Pixels,8 Megapixels,64 GB,2 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,LTE,Qualcomm Snapdragon 439 Octa Core (4 x A53 at 2.0 GHz + 4 x A53 at 1.45 GHz),,"Face Unlock Support, Waterproof IP52 Rating, 2 x 2 W Dual Powerful JBL Speakers, Google Assistant’s Ambient Mode, 3 x Digital Microphone Array, Built-in Kickstand with 4 Modes",Nano SIM,Yes,"G-Sensor, Ambient Sensor, Gyroscope, Vibrator",64 GB,7000 mAh,Yes,Yes,5 Megapixels,"1080P, 720P pixels",Yes,Yes,Yes,,"Auto Focus Rear Camera, Fixed Focus with Wide Angle 86 Degree Front Camera",Yes,Yes,,,v4.2,"Yes, USB 2.0 Type C",Android,3.5 mm,802.11a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","Full HD LED Backlit Multi Touch IPS Display (with TDDI Technology, 320 nits Brightness, 70% Color Gamut)",IPS,,Yes,Yes,Yes,,Yes,"A-GPS, GLONASS, Beidou",Google Maps,256 GB,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",Lithium Polymer,Capacitive,,,,,"36,000",40%,"21,499",Lenovo
ZA6S0003IN / TB-X606V,Smart Tab M10 FHD Plus (2nd Gen) with Google Assistant,Iron Grey,Wi-Fi+4G,Android,10.0 (Pie),4 GB,No,26.16 cm (10.3 inch),"Tablet, Adapter (5V/2A), USB Type C Cable, Smart Charging Station, 1.2 m USB Charging Cable for Smart Charging Station, Quick Start Guide, Warranty Card and Safety Guide",1920 x 1200 Pixels,8 Megapixels,128 GB,2.3 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,LTE,"MediaTek Helio P22T Octa Core (4 x A53 at 2.3 GHz, 4 x A53 at 1.8 GHz)",,"Upto 93% Full Metal Back Cover, Upto 87% Panel-to-body Ratio, Bumpy Environment Alert, Posture Alert, Dual Side Speakers Tuned by Dolby Atmos, Google Assistant Ambient Mode (Ask to Listen to Music, Ask to Control Your Home), Face Unlock, Dual Microphones (with Dedicated DSP), FM Radio, Eye Protection, Included Applications: Kid’s Mode, Tips, Netflix, Google, Gmail, Google Chrome, Google Photos, Google Play Store",Nano SIM,Yes,"G-Sensor, Hall Sensor, L-Sensor, Vibrator",128 GB,5000 mAh,Yes,Yes,5 Megapixels,,Yes,,,,"Auto Focus Rear Camera, Fixed Focus Front Camera",Yes,Yes,,,v5.0,"Yes, USB 2.0 Type C",Android,3.5 mm,802.11a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, WiFi Direct","Full HD+ LED Backlit Multi Touch IPS Display (330 nits Brightness, 70.3% NTSC Color Gamut, TDDI Direct Bonding Screen)",IPS,,Yes,Yes,Yes,,Yes,"A-GPS, GLONASS, Beidou",Google Maps,256 GB,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",,,220 PPI,,,,"21,999",13%,"18,999",Lenovo
SM-T500NZSGINU/SM-T500NZSNINU,Galaxy Tab A7,Silver,Wi-Fi Only,Android,10,3 GB,No,26.42 cm (10.4 inch),"Tablet, Travel Adapter (White, 7.75W), Data Cable (USB Type C (1 m), White), SIM Ejector Pin, Quick Start Guide",2000 x 1200 Pixels,8 Megapixels,64 GB,2 GHz,No Sim,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Full HD,Wi-Fi Only,,Tab A Series,"Quad Stereo Speakers with Dolby Atmos Surround Sound, 15W Fast Charging Support",NA,,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor",32 GB,7040 mAh,Yes,Yes,5 Megapixels,1080 pixels,,,Yes,,Auto Focus Rear Camera,Yes,,Yes,Yes,v5.0,"Yes, USB 2.0 Type C",Android,,802.11a/b/g/n/ac (2.4 GHz|5 GHz),"Wi-Fi Direct, Auto Hotspot",WUXGA TFT Touch Display (80% Screen to Body Ratio),TFT,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,,Yes,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,"A-GPS, Glonass, Beidou, Galileo",Google Maps,1 TB,microSD,Yes,,Carry In,1 Year,Manufacturing Defects,Physical Damage,,,,,,,,,"20,000",30%,"13,999",SAMSUNG
ZA6L0001IN / TB-8705X,Tab M8 (2nd Gen) FHD,Platinum Grey,Wi-Fi+4G,Android,9.0 (Pie),3 GB,Yes,20.32 cm (8 inch),"Tablet, Travel Adapter (5V/2A), USB Cable, Quick Start Guide, Warranty Card",1920 x 1200 Pixels,13 Megapixels,32 GB,2.3 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,LTE,MediaTek Helio P22T Octa Core (2.0 GHz),,1 x Side Speaker Tuned with Dolby Audio,Nano SIM,Yes,"Ambient Light Sensor, P-Sensor, Accelerometer (G) Sensor, Vibrator",32 GB,5100 mAh,Yes,Yes,5 Megapixels,,Yes,Yes,Yes,Yes,"Auto Focus Rear Camera, Fixed Focus Front Camera",Yes,Yes,,,v5.0,"Yes, Micro USB 2.0",Android,3.5 mm,802.11a/b/g/n/ac,"WiFi Direct, WiFi Display, Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","Full HD LED Backlit Multi Touch IPS Display (TDDI Direct Bonding Screen, 60% (Typical) Color Gamut, 350 nits (Typical) Color)",IPS,,Yes,Yes,Yes,,Yes,"A-GPS, GLONASS, Beidou",Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",,,,,,,"18,000",30%,"12,499",Lenovo
ZA5H0152IN / ZA5H0153IN / TB-8505X,M8 HD (2nd Gen),Iron Grey,Wi-Fi+4G,Android,9 Pie,3 GB,Yes,20.32 cm (8 inches),"Tablet, Travel Adapter (5V/1A), Cable, Quick-Start Guide, Warranty Card",1280 x 800 Pixels,8 Megapixels,32 GB,2 GHz,No Sim,1 Year Warranty,HD,"WLAN, Bluetooth, Wi-fi Direct, Wi-fi Display, 4G LTE","MediaTek Helio A22 (4C, 4x A53)",M8,"Single Front Speaker with Dolby Audio, IP5X Water Proofing, ENERGY STAR 8.0, RoHS Compliant, MediaTek SoC Platform Chipset, 5V / 1.0A Power Adapter, Case Material : Metal, PC, ABS",Nano SIM,10-Point Multi-Touch,"Accelerometer (G) Sensor, Ambient Light Sensor (ALS), Proximity Sensor",32 GB,5000 mAh,Yes,Yes,2 Megapixels,,,,,,,,,,,v5.0,1 x Micro USB 2.0,Chrome,3.5 mm,11a/b/g/n/ac (1x1),,350 nits Color Display,IPS,,,,,,,,,128 GB,microSD Card,Yes,,,1 Year,Device,,,4G LTE,,,,5000,LPDDR3,,"25,000",36%,"15,999",Lenovo
ZA6L0002IN,M8 Full HD,platinum grey,Wi-Fi+4G,Android,9 Pie,4 GB,Yes,20.32 cm (8 inches),"Tablet, Travel Adapter (5V/2A), Cable, Quick-Start Guide and Warranty Card",1920 x 1200 Pixels,13 Megapixels,64 GB,2.3 GHz,Single Sim,1 Year Warranty,,,MediaTek Helio P22T Tab Octa-Core Processor,M8 Full HD,,Nano SIM,10 Point Multi-Touch,"Accelerometer (G) Sensor, Ambient Light Sensor (ALS), Proximity Sensor",64 GB,5100 mAh,Yes,Yes,5 Megapixels,,,,,,,,,,,v5.0,1 x Micro USB-C 2.0,Chrome,,11a/b/g/n/ac (1x1),,350 nits Color Display,Full HD IPS,,,,,,,,,256 GB,microSD Card,Yes,,,1 Year,Device,,,4G LTE,,,,5100,LPDDR3,,"25,000",44%,"13,999",Lenovo
ZA4Y0079IN,M10 FHD REL,Slate Black,Wi-Fi Only,Android,9.0 (Pie),3 GB,No,25.5 cm (10.04 inch),"Tablet, Travel Adapter, Micro USB Cable, SIM Pin, Warranty Card, Quick Start Guide",1200 x 1920 Pixels,8 Megapixels,32 GB,1.8 GHz,No Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,,Qualcomm Snapdragon 450 Octa Core (1.8 GHz),,"Dual Front Facing Speakers, FM Radio",,Yes,"G Sensor, Vibrator",32 GB,7000 mAh,Yes,Yes,5 Megapixels,,Yes,Yes,,,Auto Focus Rear and Fixed Focus Front Camera,No,No,,,v4.2,Micro USB,Android,3.5 mm,802.11 a/b/g/n/ac,"WiFi Direct, WiFi Display, Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","Full HD LCD Backlit Multi Touch IPS Display (70% Color Gamut, 320 nits Brightness)",IPS,,Yes,Yes,Yes,,Yes,A-GPS,Google Maps,,microSD,Yes,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,Capacitive,,,,,"6,250",8% ,"5,750",Lenovo
1902,Mega 5S,Gold,,,,4 GB,,13.97 cm (5.5 inch),,,5MP + 8MP,64 GB,,,1 YEAR,,,OCTA CORE,Mega,,,,Gravity Sensor Light Sensor Proximity Sensor,,2500 mAh,,,0.3MP + 5MP Dual Front Camera,100X500,Yes,Yes,Yes,YES,,,Yes,,No,3.0,,"GOOGLE, IE, FIREFOX",,,,FULLY HD DISPLAY IPS LCD,FF HD,,,,,,Yes,NA,GOOGLE MAP,,Hybrid Slot,,,RING TO THE SERVICE CENTER,1 Year,SOFTWARE COVERED IN WTY,DAMAGE AND BROKEN NOT COERED IN WTY,,,NON REMOVABLE,,,,,YES,"21,999",13%,"18,999",Coolpad
